,title,published_date,viewCount,likeCount,commentCount,Month
107,"('PSLV and GSLV | ISRO | Geeta and Modi Picture in Space | Satellite Launching |',)",2021-03-04 07:25:30+00:00,6462523,262164,9015.0,Mar
108,"('Assassination of Jamal Khashoggi | king Mohammed Bin Salman | MBS | US Sanctions on Saudi Arabia',)",2021-02-28 17:49:53+00:00,5092741,229382,10049.0,Feb
109,"('Extradition Treaty | Nirav Modi Case | Vijay Mallya Case | Why All Fraudiers Go To London',)",2021-02-27 17:05:23+00:00,9497428,380592,19055.0,Feb
110,"('Ceasefire India Pakistan LoC | Myanmar Crisis | FATF | India Srilanka Relation  | Modi_Rojgar_Do |',)",2021-02-26 16:50:22+00:00,2150779,137281,5388.0,Feb
111,"('#Modi_Rojgar_Do | SSC Protest |',)",2021-02-22 18:04:20+00:00,3744301,443583,30270.0,Feb
112,"('What is FASTag | How FASTag Work | Colors of FASTag | Pros and Cons of FASTag | What is RFID Device',)",2021-02-20 08:01:20+00:00,9152753,262711,8494.0,Feb
113,"('Shabnam First Women to Hanged in India | Article 72 and 161 | Pardon Power of President and governor',)",2021-02-18 16:23:51+00:00,6115017,350842,16425.0,Feb
114,"('New Arjun Tank | Arjun MK-1A | Arjun MBT | Positive And Negative Points of Arjun Tank',)",2021-02-16 16:55:37+00:00,3209375,153170,4936.0,Feb
115,"('China Back From galwan | India China Border Faceoff | Galwan Disengagement | Vaccine Diplomacy',)",2021-02-12 16:13:55+00:00,3545722,201793,17071.0,Feb
116,"('Uttarakhand Tragedy 2021 | Chamoli Glacier | Ravi Chopra committee | nuclear Device in Nanda Devi',)",2021-02-11 16:24:32+00:00,3546412,177435,6398.0,Feb
117,"('Siwani and Ankit My Youngest Student | Khan Sir Patna',)",2021-02-08 17:28:15+00:00,11771138,671081,40929.0,Feb
118,"('Myanmar Dispute |',)",2021-02-06 16:54:35+00:00,4670267,218083,9205.0,Feb
119,"('Surgical Strike of Iran on Pakistan |  Surgical Strike on Pakistan',)",2021-02-05 16:56:47+00:00,5578658,331113,14917.0,Feb
120,"('Budget 2021 | Positive And Negative Point of Budget 2021 | Pros And Cons of Budget 2021',)",2021-02-04 15:32:02+00:00,5423851,289941,13551.0,Feb
121,"('Mossad | Israeli Commando Operation | Operation Thunderbolt | Mossad Secret Mission | Delhi Blast',)",2021-02-02 06:04:02+00:00,18009670,652803,29364.0,Feb
122,"('Israel Embassy Blast | IED Blast in Delhi | Blast on Delhi | JAISH -UL -HIND | Minor Blast in Delhi',)",2021-02-01 05:01:21+00:00,4923668,302702,15957.0,Feb
123,"('China Taiwan Dispute | China Declare War Against Taiwan',)",2021-01-31 13:28:47+00:00,3599718,233336,31118.0,Jan
